category_label,category_source,changelog,creator,creator_slug,creator_url,description,features,gallery,image,is_free,last_updated,launched,marketplace_url,min_version,page_num,platforms,price_minecoins,price_ps_tokens,prices,published,rank_on_page,rating_count,rating_histogram,rating_positive_percent,rating_value,slug,tags,title,trailer_views,uid,url,video_url
,,,5 Frame Studios,5-frame-studios,https://chunk.gg/@5-frame-studios,This is the officially ported version of the magical Reliquary Reincarnations mod in partnership with the original mod creator: P3pp3rF1y.,"Craftable Weapons,Custom Tools,Farming,Flight,Fly,Magic,Stealth,Advanced","https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/thumbnail-49732e7f940ef82b-640.jpg,https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/screenshot-1-bee64d0e961252c6-640.jpg,https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/screenshot-2-2b640c62ccea1def-640.jpg,https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/screenshot-3-147bbec43e1a8fc3-640.jpg,https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/screenshot-4-51a0920ca51edb68-640.jpg,https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/screenshot-5-34609efff8527105-640.jpg,https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/screenshot-6-3861a66504b22fcc-640.jpg,https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/panorama-bd9dd7ff5e5c9cb5-1920.jpg",https://images.chunk.gg/products/5-frame-studios/reliquary-reincarnations/thumbnail-49732e7f940ef82b-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=e88d3873-e97e-49fd-896f-e9235bba4ab2,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",990,990,"{'EUR': 4.89, 'USD': 5.19, 'GBP': 4.01, 'CAD': 7.23, 'AUD': 7.9}",2025-09-02T17:00:00.000Z,2,26,,,4.8,/@5-frame-studios/reliquary-reincarnations,"Craftable Weapons,Custom Tools,Farming,Flight,Fly,Magic,Stealth,Advanced",Reliquary Reincarnations,,e88d3873-e97e-49fd-896f-e9235bba4ab2,https://chunk.gg/@5-frame-studios/reliquary-reincarnations,
,,,Pixelbiester,pixelbiester,https://chunk.gg/@pixelbiester,"Explore the lost structures of forgotten legends and discover their hidden knowledge. Find their landmarks across the world and learn to craft potion-infused flowers, armor-enhancing runes, magical sushi and much, much more.","Adventures,Building,Crafting,Custom Consumables,Discover,Exploration,Fishing,Custom Tools","https://images.chunk.gg/products/pixelbiester/structures/thumbnail-3f96a3495b106528-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-1-81caaf26c88374c5-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-2-2f6afedb1fc8954c-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-3-6ebdaa5055b5dba7-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-4-d926dd3041a5ea5e-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-5-ad01d10d472326e3-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-6-35788dfd32272d14-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-7-d5ac078391bd6780-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/screenshot-8-cb515bb88832558d-640.jpg,https://images.chunk.gg/products/pixelbiester/structures/panorama-38989c5555494084-1920.jpg",https://images.chunk.gg/products/pixelbiester/structures/thumbnail-3f96a3495b106528-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=e8bf22b0-24e1-4007-94c5-0840fb4d97d4,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",1340,1340,"{'EUR': 6.62, 'USD': 7.02, 'GBP': 5.43, 'CAD': 9.78, 'AUD': 10.69}",2025-09-02T17:00:00.000Z,3,63,,,4.3,/@pixelbiester/structures,"Adventures,Building,Crafting,Custom Consumables,Discover,Exploration,Fishing,Custom Tools",Structures Add-On,53628,e8bf22b0-24e1-4007-94c5-0840fb4d97d4,https://chunk.gg/@pixelbiester/structures,https://www.youtube.com/embed/S1h6lGRq3aU?rel=0&amp;
,,,Cubical,cubical,https://chunk.gg/@cubical,Secure your base with 10 cameras using the Security Camera Add-On!,"Base Building,Cool,Fun,Secret,Secret Base,Trend,Base","https://images.chunk.gg/products/cubical/security-cameras/thumbnail-56eeccf215de9573-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-1-df622969a7d113f7-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-2-c4cc6662ee7fbb32-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-3-fd8864078418b015-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-4-70c257af788d9c1d-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-5-87678a47289b720e-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-6-2c2d60bc4aebadb3-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-7-1366774c890a4f9d-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-8-8788bd6edf3f8ad3-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-9-83692c79830e192b-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/screenshot-10-d57aafcfc21936b9-640.jpg,https://images.chunk.gg/products/cubical/security-cameras/panorama-ac014a1a02451d80-1920.jpg",https://images.chunk.gg/products/cubical/security-cameras/thumbnail-56eeccf215de9573-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=e8dc0426-0711-4a65-bd6c-eec1290cb3f7,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2025-09-02T17:00:00.000Z,4,16,,,3.9,/@cubical/security-cameras,"Base Building,Cool,Fun,Secret,Secret Base,Trend,Base",Security Cameras Add-On,2924,e8dc0426-0711-4a65-bd6c-eec1290cb3f7,https://chunk.gg/@cubical/security-cameras,https://www.youtube.com/embed/gWO1dUAn50A?rel=0&amp;
,,,SandBlock Studios,sandblock-studios,https://chunk.gg/@sandblock-studios,"The stiches will hold, will you?","Boss Fights,Dark,Demon,Hardcore,Horror,Monster,Custom Mobs","https://images.chunk.gg/products/sandblock-studios/stitched-monsters/thumbnail-d0ce111b2ec26983-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-1-b98f52c10a76b5dd-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-2-1bbfbd15742a849b-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-3-29abeb373787c325-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-4-ac04c604f3acd33e-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-5-5c4f0608ad1696b4-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-6-c6ee95a8e51655b5-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-7-5b190fd113224531-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/screenshot-8-3411425e5612a6b6-640.jpg,https://images.chunk.gg/products/sandblock-studios/stitched-monsters/panorama-bfdd0ee1575a8672-1920.jpg",https://images.chunk.gg/products/sandblock-studios/stitched-monsters/thumbnail-d0ce111b2ec26983-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=fe813446-ec07-4b76-a13b-cce6cae0a98e,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-09-02T17:00:00.000Z,5,16,,,4.2,/@sandblock-studios/stitched-monsters,"Boss Fights,Dark,Demon,Hardcore,Horror,Monster,Custom Mobs",Stitched Monsters,3931,fe813446-ec07-4b76-a13b-cce6cae0a98e,https://chunk.gg/@sandblock-studios/stitched-monsters,https://www.youtube.com/embed/_n2HcsofTYc?rel=0&amp;
,,,Red Eagle Studios,red-eagle-studios,https://chunk.gg/@red-eagle-studios,Carry more items with this Backpack Add-on! with over 45+ backpack and bundle and unique abilities!,"Implemented ability toggle for backpacks and bundles.,Add lore/description on upgraded backpacks.,Fixed disappear backpack when placed in now world, nether, chestplate swap, and inventory full pickup.,Improved Logger Backpack can breaks horizontal trees.,Bunch of community reported bug fix,Inventory Management,Chest,Stores,Backpack","https://images.chunk.gg/products/red-eagle-studios/backpack/thumbnail-68d1053668be8cfe-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-1-c187898270cc21cf-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-2-7a64cadbd0077033-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-3-434daeec34b55556-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-4-df8f30d65914f7ba-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-5-d27d25d093ee1541-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-6-47e34ed725f1b579-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-7-5a9b84f658d6de3d-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-8-affef66d67c78ed9-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-9-4b9eb7dc983e4715-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/screenshot-10-c8ba9f2672b695bc-640.jpg,https://images.chunk.gg/products/red-eagle-studios/backpack/panorama-87db5a7e00475d2f-1920.jpg",https://images.chunk.gg/products/red-eagle-studios/backpack/thumbnail-68d1053668be8cfe-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=ea166177-93da-482a-8371-99c522d33ada,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-05-13T17:00:00.000Z,6,172,,,3.8,/@red-eagle-studios/backpack,"Inventory Management,Chest,Stores,Backpack",Backpack,19188,ea166177-93da-482a-8371-99c522d33ada,https://chunk.gg/@red-eagle-studios/backpack,https://www.youtube.com/embed/ifQEnxbycbQ?rel=0&amp;
,,,Scai Quest,scai-quest,https://chunk.gg/@scai-quest,"- 31 cute, craftable & dyable backpacks","added 16 new backpacks,parrot behaviour moved behind a toggle (v2.0.1),added dedicated crafting table,added 3 new items as crafting ingredients. They drop from killing bats, foxes and silverfish,added a locator item that helps you locate the last backpack you placed down,Backpack,Inventory Management,Colorful,Animals,Cute,Crafting,Craftable Tools","https://images.chunk.gg/products/scai-quest/backpacks/thumbnail-f4b7d69c64223a15-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-1-e5053908e58aceee-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-2-a07055436a263464-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-3-58222617ba3f3fbb-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-4-6cc13972869537fd-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-5-b6b0175d3e075ae0-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-6-88fe1ed30d1cefa5-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-7-5a97a2e2e1f55a6f-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-8-a3a9931c7660356f-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-9-158c2efe3dc5df30-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/screenshot-10-4b006f3c8a91d788-640.jpg,https://images.chunk.gg/products/scai-quest/backpacks/panorama-599b4838e283a14f-1920.jpg",https://images.chunk.gg/products/scai-quest/backpacks/thumbnail-f4b7d69c64223a15-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=96d44e78-c0c9-4214-afe0-e5b4a77767cb,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",490,490,"{'EUR': 2.42, 'USD': 2.57, 'GBP': 1.98, 'CAD': 3.58, 'AUD': 3.91}",2024-07-23T17:00:00.000Z,7,4229,,,4.4,/@scai-quest/backpacks,"Backpack,Inventory Management,Colorful,Animals,Cute,Crafting,Craftable Tools",Backpacks,118599,96d44e78-c0c9-4214-afe0-e5b4a77767cb,https://chunk.gg/@scai-quest/backpacks,https://www.youtube.com/embed/z2coFFMppEA?rel=0&amp;
,,,StarkTMA,starktma,https://chunk.gg/@starktma,"Upgrade your world with Enchantments Plus! Unlock powerful new abilities for all your tools and weapons, like summoning lightning or harvesting extra crops. With a custom enchanting table, boosting your survival and adventure gameplay is easy. Enhance your gear and take control with Enchantments Plus.","Added new enchantments: Thrusters, Obsidian Stride, Bunny Hop, Last Will, Careless, Artifact, Scouter, Untangled, XPSurge.,All Enchantments Plus are now available as Enchanted Plus Books.,Refined the guide book.,Improvements and bug fixes.,Custom Tools,Defend,Power,Epic,Extreme,Swordplay","https://images.chunk.gg/products/starktma/enchantments-plus/thumbnail-d0e4aa890bc27745-640.jpg,https://images.chunk.gg/products/starktma/enchantments-plus/screenshot-1-849f866cbc9e0a9b-640.jpg,https://images.chunk.gg/products/starktma/enchantments-plus/screenshot-2-182ff138df45f7e3-640.jpg,https://images.chunk.gg/products/starktma/enchantments-plus/screenshot-3-777d87d77a2dd4f5-640.jpg,https://images.chunk.gg/products/starktma/enchantments-plus/screenshot-4-1b8436719bcf200f-640.jpg,https://images.chunk.gg/products/starktma/enchantments-plus/screenshot-5-a70c3a869c552e95-640.jpg",https://images.chunk.gg/products/starktma/enchantments-plus/thumbnail-d0e4aa890bc27745-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=7c27b1c3-40e4-4b70-87f6-ff15ab32daa1,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-01-28T18:00:00.000Z,8,1234,,,4.0,/@starktma/enchantments-plus,"Custom Tools,Defend,Power,Epic,Extreme,Swordplay",Enchantments Plus,42361,7c27b1c3-40e4-4b70-87f6-ff15ab32daa1,https://chunk.gg/@starktma/enchantments-plus,https://www.youtube.com/embed/nbJTqoarJVQ?rel=0&amp;
,,,PixelHeads,pixelheads,https://chunk.gg/@pixelheads,Add new animals to YOUR WORLD! These animals interact in ways never seen before!,"Animals,Wildlife,Nature","https://images.chunk.gg/products/pixelheads/wildlife-v1-2/thumbnail-2c20b58a3269669c-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-1-429cdf1400109196-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-2-758b3d89adccf635-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-3-cc04c1eff7727842-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-4-a7872608cdb1a4e3-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-5-28a831049bbb5212-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-6-4a7e3f0dd3b96cd2-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-7-51eba218ab2fa3d0-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-8-90c27df13a70ea41-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-9-3bcc25540ff44751-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/screenshot-10-1f0925fa977568fb-640.jpg,https://images.chunk.gg/products/pixelheads/wildlife-v1-2/panorama-37b5fcde82d7d293-1280.jpg",https://images.chunk.gg/products/pixelheads/wildlife-v1-2/thumbnail-2c20b58a3269669c-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=e14c791f-2745-4ea0-8c06-0f5ee623b556,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2025-03-18T17:00:00.000Z,9,284,,,4.4,/@pixelheads/wildlife-v1-2,"Animals,Wildlife,Nature",Wildlife Add-On v1.2,39022,e14c791f-2745-4ea0-8c06-0f5ee623b556,https://chunk.gg/@pixelheads/wildlife-v1-2,https://www.youtube.com/embed/Cq_JtCsn-aY?rel=0&amp;
,,,Logdotzip,logdotzip,https://chunk.gg/@logdotzip,"Fight alongside the legendary martial arts master, Bruce Lee. Defeat opponents, gain wisdom, and unlock the Fury of the Dragon! Empty your mind. Be formless, shapeless, like water.","Martial Arts,Fighting,Defend,Superhero,Fun,Movie Star","https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/thumbnail-d383ef3b6818b700-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-1-69ae9bf32cab13fa-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-2-ec08ea412b0c97c6-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-3-a35d3579b403ec2c-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-4-d98107e316a45684-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-5-c2017e8cec34f0d2-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-6-21e153d7f480b41d-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-7-814735a246d5a4b3-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-8-a0a79086e3d3772f-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-9-255b7b674afe624c-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/screenshot-10-e6f08df85e25b7ff-640.jpg,https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/panorama-ceb8c0d6eb73e46e-1920.jpg",https://images.chunk.gg/products/logdotzip/bruce-lee-dragon-fury/thumbnail-d383ef3b6818b700-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=7953f6e9-3261-4e74-a278-d71a5f833fc3,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",990,990,"{'EUR': 4.89, 'USD': 5.19, 'GBP': 4.01, 'CAD': 7.23, 'AUD': 7.9}",2025-05-13T17:00:00.000Z,10,167,,,3.8,/@logdotzip/bruce-lee-dragon-fury,"Martial Arts,Fighting,Defend,Superhero,Fun,Movie Star",Bruce Lee: Dragon Fury,,7953f6e9-3261-4e74-a278-d71a5f833fc3,https://chunk.gg/@logdotzip/bruce-lee-dragon-fury,https://www.youtube.com/embed/6YO1hzqWCog?rel=0&amp;
,,,DeliSoft Studios,delisoft-studios,https://chunk.gg/@delisoft-studios,"Add a splash of cuteness to your builds with the Kawaii Build Set Add-On Pack! This pack introduces adorable new blocks with pastel colors, heart and star patterns, soft textures, and playful designs. Perfect for creating dreamy cafes, cozy bedrooms, or magical villages full of charm and personality!","Block,Build,Craftable Blocks,Craftable Furniture,Design,Fun,City","https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/thumbnail-365659a3980613b8-640.jpg,https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/screenshot-1-d37e8dcddfedae84-640.jpg,https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/screenshot-2-3c4aa127ad816ce2-640.jpg,https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/screenshot-3-2c05c38e8c044d51-640.jpg,https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/screenshot-4-c0eca40c4bb3c7ad-640.jpg,https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/screenshot-5-7fa32e840141ca53-640.jpg,https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/panorama-58c49da68909b40f-960.jpg",https://images.chunk.gg/products/delisoft-studios/kawaii-build-set/thumbnail-365659a3980613b8-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=14186128-add0-4381-ae00-dfe070a57af8,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-08-28T17:00:00.000Z,11,8,,,4.1,/@delisoft-studios/kawaii-build-set,"Block,Build,Craftable Blocks,Craftable Furniture,Design,Fun,City",Kawaii Build Set,,14186128-add0-4381-ae00-dfe070a57af8,https://chunk.gg/@delisoft-studios/kawaii-build-set,
,,,Spark Universe,spark-universe,https://chunk.gg/@spark-universe,"BRING THE VFX FROM REALISM CRAFT INTO YOUR OWN WORLDS! Experience VFX such as dynamic light and lens flares. Enhance your world with biome, water, sky, and weather VFX.","Added nether VFX and ambient sound.,Added pale garden VFX and ambient sound.,Added new godrays.,Fixed a bug that caused the lens flares to flicker often.,Realistic,Fancy,Light,Epic,Cool","https://images.chunk.gg/products/spark-universe/realism-vfx/thumbnail-a591a70320c02a34-640.jpg,https://images.chunk.gg/products/spark-universe/realism-vfx/screenshot-1-fbe4e3bc6e491462-640.jpg,https://images.chunk.gg/products/spark-universe/realism-vfx/screenshot-2-70cef5aeabd823a8-640.jpg,https://images.chunk.gg/products/spark-universe/realism-vfx/screenshot-3-f56c01953250e4a0-640.jpg,https://images.chunk.gg/products/spark-universe/realism-vfx/screenshot-4-6d34db1402e0b297-640.jpg,https://images.chunk.gg/products/spark-universe/realism-vfx/screenshot-5-c50f40347122aa36-640.jpg,https://images.chunk.gg/products/spark-universe/realism-vfx/screenshot-6-cf4ae944b849718d-640.jpg,https://images.chunk.gg/products/spark-universe/realism-vfx/panorama-c673fd750f8d03a3-1600.jpg",https://images.chunk.gg/products/spark-universe/realism-vfx/thumbnail-a591a70320c02a34-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=eab9222c-10ee-490c-a214-9dc323021a21,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",990,990,"{'EUR': 4.89, 'USD': 5.19, 'GBP': 4.01, 'CAD': 7.23, 'AUD': 7.9}",2024-10-01T17:00:00.000Z,12,9997,,,4.5,/@spark-universe/realism-vfx,"Realistic,Fancy,Light,Epic,Cool",Realism VFX Add-On,1675993,eab9222c-10ee-490c-a214-9dc323021a21,https://chunk.gg/@spark-universe/realism-vfx,https://www.youtube.com/embed/1Hr4Gpymw8I?rel=0&amp;
,,,Chunklabs,chunklabs,https://chunk.gg/@chunklabs,"Tired of the same old boring enchantments? Enchant your favorite WEAPONS, TOOLS and ARMOR from ANY Map or Add-On! Enchant anything you want! Shoot Lightning, Reflect Arrows, Steal HP and so much more!","We added Sound Enchantments! Add special sound effects to your Weapons or Gear!,You can now Level-up your Enchantments to make your gear even stronger!,Reworked special abilities & Powers,Updated SFX,Bugs fixed & Improved performance,Magic,Custom Tools,Craftable Weapons,Supernatural,Power,Custom Armor,Armor","https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/thumbnail-6f4d5bb8e957e92b-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-1-1a2f3e8720fbd383-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-2-f5e9b1b094999aee-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-3-f484bc50afe6291a-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-4-105c89b761ed1e00-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-5-8725ec6f2326a427-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-6-9894e244a2667538-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-7-67bd80cb215ad976-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-8-a0fbc9b21d46288f-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-9-6100c249dbb76b42-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/screenshot-10-2c398b75dbc6379a-640.jpg,https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/panorama-d2880693a83c5059-1280.jpg",https://images.chunk.gg/products/chunklabs/custom-enchants-1-2/thumbnail-6f4d5bb8e957e92b-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=761bd769-bb7a-4af7-9543-ae9ad246b463,,2,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",660,660,"{'EUR': 3.26, 'USD': 3.46, 'GBP': 2.67, 'CAD': 4.82, 'AUD': 5.27}",2025-03-25T17:00:00.000Z,13,635,,,3.7,/@chunklabs/custom-enchants-1-2,"Magic,Custom Tools,Craftable Weapons,Supernatural,Power,Custom Armor,Armor",CUSTOM ENCHANTS! Add-On [1.2],,761bd769-bb7a-4af7-9543-ae9ad246b463,https://chunk.gg/@chunklabs/custom-enchants-1-2,
